,CAMPUS,EDIFICIO,AULA,num_aula
704,ALCORCON,Aulario I,Aula  106,106
706,ALCORCON,Aulario I,Aula 001,001
708,ALCORCON,Aulario I,Aula 002,002
710,ALCORCON,Aulario I,Aula 004,004
711,ALCORCON,Aulario I,Aula 005,005
719,ALCORCON,Aulario I,Aula 101,101
720,ALCORCON,Aulario I,Aula 102,102
721,ALCORCON,Aulario I,Aula 103,103
821,ALCORCON,Aulario I,Aula Informática 104,104
822,ALCORCON,Aulario I,Aula Informática 105,105
915,ALCORCON,Aulario I,Aula Magna 003,003
1058,ALCORCON,Aulario II,Aula 001,001
1060,ALCORCON,Aulario II,Aula 002,002
1061,ALCORCON,Aulario II,Aula 003,003
1062,ALCORCON,Aulario II,Aula 004,004
1063,ALCORCON,Aulario II,Aula 005,005
1064,ALCORCON,Aulario II,Aula 006,006
1065,ALCORCON,Aulario II,Aula 007,007
1066,ALCORCON,Aulario II,Aula 008,008
1071,ALCORCON,Aulario II,Aula 101,101
1073,ALCORCON,Aulario II,Aula 103,103
1074,ALCORCON,Aulario II,Aula 104,104
1075,ALCORCON,Aulario II,Aula 105,105
1076,ALCORCON,Aulario II,Aula 106,106
1077,ALCORCON,Aulario II,Aula 107,107
1078,ALCORCON,Aulario II,Aula 108,108
1104,ALCORCON,Aulario II,Aula 2S3,2S3
1162,ALCORCON,Aulario II,Aula Habilidades Clínicas I (Polivalente 1) S009,S009
1163,ALCORCON,Aulario II,Aula Habilidades Clínicas II (Polivalente 2) S008,S008
1164,ALCORCON,Aulario II,Aula Habilidades Clínicas IV (Área Enfermería) S006,S006
1165,ALCORCON,Aulario II,Aula Habilidades Clínicas V (Polivalente 3) S005,S005
1166,ALCORCON,Aulario II,Aula Habilidades Clínicas Vi (Área Terapia Ocupaciona S003,S003
1167,ALCORCON,Aulario II,Aula Habilidades Clínicas Vii (Área Terapia Ocupacion S004,S004
1171,ALCORCON,Aulario II,Aula Informática 102,102
1475,ALCORCON,Aulario III,Aula 321,321
1888,ALCORCON,Biblioteca,Aula Informática A020,A020
1996,ALCORCON,Biblioteca,Aula de Formación 007,007
3064,ALCORCON,Departamental I,Laboratorio 214,214
3088,ALCORCON,Departamental I,Lectura de Exámenes 124,124
3109,ALCORCON,Departamental I,Sala de Reuniones I 001,001
3110,ALCORCON,Departamental I,Sala de Reuniones II 101,101
3111,ALCORCON,Departamental I,Sala de Reuniones III 201,201
3125,ALCORCON,Departamental I,Salón de Grados 225,225
3454,ALCORCON,Departamental II,Sala de Reuniones D1039,D1039
3455,ALCORCON,Departamental II,Sala de Reuniones D1043,D1043
3456,ALCORCON,Departamental II,Sala de Reuniones D1082,D1082
3457,ALCORCON,Departamental II,Sala de Reuniones D1086,D1086
3458,ALCORCON,Departamental II,Sala de Reuniones D2043,D2043
3459,ALCORCON,Departamental II,Sala de Reuniones D2082,D2082
3460,ALCORCON,Departamental II,Sala de Reuniones D2086,D2086
3471,ALCORCON,Departamental II,Salón de Actos D2087,D2087
3518,ALCORCON,Departamental II,Seminario II A006,A006
3523,ALCORCON,Estadio,Aula 001 004,004
4431,ALCORCON,Gestión Y Decanato,Aula Linux S001,S001
4432,ALCORCON,Gestión Y Decanato,Aula Linux S002,S002
4506,ALCORCON,Gestión Y Decanato,Sala de Juntas 009,009
4520,ALCORCON,Gestión Y Decanato,Sala de Reunión 008,008
4523,ALCORCON,Gestión Y Decanato,Salon de Actos 018,018
6237,ALCORCON,Laboratorios Polivalentes,Laboratorio I (Área Fisioterapia) 001,001
6238,ALCORCON,Laboratorios Polivalentes,Laboratorio II (Área Fisioterapia) 002,002
6243,ALCORCON,Laboratorios Polivalentes,Laboratorio Vi (Área Fisiología) 103,103
6244,ALCORCON,Laboratorios Polivalentes,Laboratorio X (Área de Psicología) 204,204
6295,ALCORCON,Laboratorios Polivalentes,Seminario 004,004
6306,ALCORCON,Laboratorios Polivalentes,Seminario 104,104
6606,ALCORCON,Laboratorios Polivalentes I,Laboratorio de Química I 001,001
9306,ARANJUEZ,Antiguo Cuartel De Pavía,Aula Informática P212,P212
9307,ARANJUEZ,Antiguo Cuartel De Pavía,Aula Informática P214,P214
9308,ARANJUEZ,Antiguo Cuartel De Pavía,Aula Informática P215,P215
9368,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P001,P001
9369,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P002,P002
9370,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P033,P033
9371,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P108,P108
9372,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P109,P109
9373,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P114,P114
9374,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P122,P122
9375,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P128,P128
9376,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P129,P129
9377,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P130,P130
9378,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P206,P206
9379,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P207,P207
9380,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P211,P211
9381,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P219,P219
9382,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P224,P224
9383,ARANJUEZ,Antiguo Cuartel De Pavía,Aula P225,P225
9385,ARANJUEZ,Antiguo Cuartel De Pavía,Aula Teoría P008,P008
9456,ARANJUEZ,Antiguo Cuartel De Pavía,Salón de Actos P201,P201
10215,ARANJUEZ,Aulario II,Aula 005,005
10216,ARANJUEZ,Aulario II,Aula 006,006
10218,ARANJUEZ,Aulario II,Aula 008,008
11361,ARANJUEZ,Casa Gobernador,Aula G023,G023
11363,ARANJUEZ,Casa Gobernador,Aula G105,G105
11364,ARANJUEZ,Casa Gobernador,Aula G106,G106
11365,ARANJUEZ,Casa Gobernador,Aula G108,G108
11367,ARANJUEZ,Casa Gobernador,Aula G114,G114
11393,ARANJUEZ,Casa Gobernador,Aula Informática G025,G025
16691,ARANJUEZ,Lucas Jordán,Aula Informática LS10,L010
16692,ARANJUEZ,Lucas Jordán,Aula Informática LS11,L011
16708,ARANJUEZ,Lucas Jordán,Aula L001,L001
16709,ARANJUEZ,Lucas Jordán,Aula L002,L002
16710,ARANJUEZ,Lucas Jordán,Aula L003,L003
